,device_name,users_count,percent_users,actions_device_count,percent_actions,top_browsers,count_code_not_200,count_code
0,Acer,2,0.0032857447962016794,8,0.0010186943140303494,"{'Chrome': 6, 'Android': 2}",8,"{302: 7, 404: 1}"
1,Alcatel,14,0.023000213573411754,114,0.01451639397493248,"{'Android': 88, 'Chrome Mobile': 16, 'Chrome': 10}",114,"{404: 62, 302: 33, 499: 8, 403: 5, 500: 3, 304: 3}"
2,Amazon,1,0.0016428723981008397,1,0.00012733678925379367,{'Amazon Silk': 1},1,{301: 1}
3,Apple,10377,17.048086875092412,99326,12.647853929422311,"{'MobileSafari': 55914, 'Mobile Safari': 26501, 'Applebot': 6722, 'Chrome Mobile iOS': 3492, 'Safari': 2308}",99326,"{404: 69205, 302: 20520, 499: 3850, 301: 2879, 304: 2366, 403: 355, 500: 92, 502: 34, 401: 16, 408: 8, 400: 1}"
4,Archos,1,0.0016428723981008397,6,0.0007640207355227621,{'Android': 6},6,"{404: 5, 302: 1}"
5,Asus,337,0.5536479981599829,1027,0.1307748825636461,"{'Chrome Mobile': 651, 'Chrome': 175, 'Chrome Mobile WebView': 136, 'Android': 44, 'LINE': 16}",1027,"{302: 527, 304: 180, 499: 137, 404: 86, 403: 76, 301: 20, 502: 1}"
6,BlackBerry,14,0.023000213573411754,68,0.00865890166925797,{'BlackBerry WebKit': 68},68,"{304: 35, 404: 21, 302: 6, 499: 3, 301: 3}"
7,Chrome OS,1,0.0016428723981008397,1,0.00012733678925379367,{'Chrome': 1},1,{301: 1}
8,Cubot,1,0.0016428723981008397,3,0.00038201036776138104,{'Chrome Mobile': 3},3,"{302: 2, 499: 1}"
9,Fedora,3,0.004928617194302518,18,0.0022920622065682864,"{'Firefox': 15, 'Chrome': 3}",18,"{302: 8, 499: 8, 301: 2}"
10,Fly,3,0.004928617194302518,4,0.0005093471570151747,"{'Android': 2, 'Chrome Mobile': 2}",4,"{499: 2, 302: 1, 404: 1}"
11,Generic,1252,2.056876242422251,7647,0.9737444274237603,"{'Firefox Mobile': 7577, 'Chrome Mobile': 36, 'Android': 12, 'Chrome Mobile WebView': 8, 'libwww-perl': 4}",7647,"{304: 3448, 302: 2767, 499: 1112, 301: 113, 403: 112, 404: 81, 500: 9, 502: 4, 400: 1}"
12,Generic_Android,1344,2.2080205030475284,3979,0.506673084440845,"{'Chrome Mobile': 3159, 'Chrome Mobile WebView': 426, 'Android': 329, 'GLX Spider1S': 22, 'GLX SpiderI': 19}",3979,"{302: 1970, 499: 830, 304: 609, 404: 309, 403: 158, 301: 93, 502: 8, 408: 2}"
13,Generic_Android_Tablet,868,1.4260132415515288,1837,0.233917681859219,"{'Chrome': 1726, 'Chrome Mobile WebView': 99, 'Samsung Internet': 7, 'Android': 3, 'Opera': 2}",1837,"{302: 1297, 499: 248, 304: 246, 403: 21, 301: 13, 404: 10, 502: 2}"
14,Gigabyte,1,0.0016428723981008397,1,0.00012733678925379367,{'Chrome Mobile': 1},1,{302: 1}
15,Google,4,0.006571489592403359,17,0.0021647254173144926,{'Chrome Mobile': 17},17,"{302: 15, 499: 2}"
16,HP,2,0.0032857447962016794,16,0.0020373886280606987,"{'Android': 9, 'Chrome': 7}",16,"{404: 8, 304: 5, 302: 2, 499: 1}"
17,HTC,699,1.1483678062724867,2373,0.3021702008992524,"{'Chrome Mobile': 1459, 'Android': 452, 'Chrome Mobile WebView': 407, 'Safari': 23, 'UC Browser': 11}",2373,"{302: 996, 499: 478, 404: 387, 304: 347, 403: 95, 301: 58, 500: 6, 502: 5, 408: 1}"
18,Huawei,5938,9.755376299922785,18721,2.3838720316202715,"{'Chrome Mobile': 10481, 'Android': 6603, 'Chrome Mobile WebView': 1131, 'UC Browser': 166, 'Chrome': 151}",18721,"{302: 6421, 404: 6094, 499: 3333, 304: 1732, 403: 736, 301: 350, 502: 23, 408: 15, 504: 12, 500: 5}"
19,Hyundai,1,0.0016428723981008397,1,0.00012733678925379367,{'Chrome': 1},1,{302: 1}
20,Infinix,1,0.0016428723981008397,7,0.0008913575247765557,{'Chrome Mobile': 7},7,"{499: 6, 302: 1}"
21,LG,1445,2.3739506152557133,4904,0.6244596145006042,"{'Chrome Mobile': 3986, 'Android': 483, 'Chrome Mobile WebView': 396, 'Opera Mobile': 13, 'Google': 8}",4904,"{302: 2559, 499: 946, 304: 700, 403: 335, 404: 249, 301: 102, 502: 10, 500: 3}"
22,Lenovo,1030,1.6921585700438648,3662,0.46630732224739246,"{'Chrome': 1749, 'Android': 1542, 'Chrome Mobile': 188, 'Chrome Mobile WebView': 125, 'Samsung Internet': 29}",3662,"{302: 1626, 304: 1388, 499: 280, 404: 266, 403: 55, 301: 43, 502: 4}"
23,Linux,211,0.3466460759992771,1699,0.21634520494219545,"{'Chrome': 1446, 'Samsung Internet': 69, 'Firefox': 60, 'Opera': 47, 'Wget': 28}",1699,"{302: 741, 301: 631, 304: 119, 499: 113, 404: 60, 403: 26, 502: 7, 400: 2}"
